county_id,county_name,j,k,sensitivity_cinvest,direct_cinvest,cinvest_diff,cinvest_diff_pct,sensitivity_com,direct_com,com_diff,com_diff_pct,sensitivity_ctrans,direct_ctrans,ctrans_diff,ctrans_diff_pct,sensitivity_total,direct_total,total_diff,total_diff_pct
3,绿春县,0,2,6839145.449989395,6839145.449989395,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6839145.449989395,6839145.449989395,0.0,0.0
3,绿春县,1,0,6841145.449989395,6841145.449989395,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6841145.449989395,6841145.449989395,0.0,0.0
3,绿春县,1,1,6841145.449989395,6841145.449989395,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6841145.449989395,6841145.449989395,0.0,0.0
3,绿春县,1,2,6841145.449989395,6841145.449989395,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6841145.449989395,6841145.449989395,0.0,0.0
3,绿春县,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,绿春县,3,1,5980147.0,5980147.0,0.0,0.0,0.0,0.0,0.0,0,10077781.278449677,10077781.278449677,0.0,0.0,16057928.278449677,16057928.278449677,0.0,0.0
3,绿春县,3,2,338266547.0,338266547.0,0.0,0.0,0.0,0.0,0.0,0,65827.5350386887,65827.5350386887,0.0,0.0,338332374.5350387,338332374.5350387,0.0,0.0
4,金平苗族瑶族傣族自治县,0,0,6403381.086498892,6403381.086498892,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6403381.086498892,6403381.086498892,0.0,0.0
4,金平苗族瑶族傣族自治县,0,1,6403381.086498892,6403381.086498892,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6403381.086498892,6403381.086498892,0.0,0.0
4,金平苗族瑶族傣族自治县,0,2,6403381.086498892,6403381.086498892,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6403381.086498892,6403381.086498892,0.0,0.0
