dataset,factor,cost_change_pct,roi_storage_sens,name,Province,cost_change_label
counties,0.7,-30,0.016555025448739116,和田市,新疆维吾尔自治区,-30%
counties,0.7,-30,0.06606114328056026,木里藏族自治县,四川省,-30%
counties,0.7,-30,0.06315340529141061,盐源县,四川省,-30%
counties,0.7,-30,0.053337882492815646,布拖县,四川省,-30%
counties,0.7,-30,0.05624006763174416,普格县,四川省,-30%
counties,0.7,-30,0.058182039944911036,抚远市,黑龙江省,-30%
counties,0.7,-30,0.058182039944911036,同江市,黑龙江省,-30%
counties,0.7,-30,0.054778883260157674,喜德县,四川省,-30%
counties,0.7,-30,0.051142592352370245,昭觉县,四川省,-30%
counties,0.7,-30,0.015037455625081525,囊谦县,青海省,-30%
counties,0.7,-30,0.01941495972434832,治多县,青海省,-30%
counties,0.7,-30,0.015148925293739054,称多县,青海省,-30%
counties,0.7,-30,0.016677105312595787,杂多县,青海省,-30%
counties,0.7,-30,0.018675769208053358,曲麻莱县,青海省,-30%
counties,0.7,-30,0.031718135781053355,康乐县,甘肃省,-30%
counties,0.7,-30,0.031407950088357575,临夏县,甘肃省,-30%
counties,0.7,-30,0.03178730862720329,广河县,甘肃省,-30%
counties,0.7,-30,0.03258902254174805,永靖县,甘肃省,-30%
counties,0.7,-30,0.031200829522101542,东乡族自治县,甘肃省,-30%
counties,0.7,-30,0.031016990246452224,和政县,甘肃省,-30%
counties,0.7,-30,0.03194247506503169,积石山保安族东乡族撒拉族自治县,甘肃省,-30%
counties,0.7,-30,0.013735851342360194,同仁市,青海省,-30%
counties,0.7,-30,0.015324179069482307,湟源县,青海省,-30%
counties,0.7,-30,0.03588842142679494,桑珠孜区,西藏自治区,-30%
counties,0.7,-30,0.0141143426657707,大通回族土族自治县,青海省,-30%
counties,0.7,-30,0.02015430310050823,墨玉县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.0225925055598475,皮山县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.01935355182791475,洛浦县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.02120247193187309,策勒县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.013404286044262654,湟中区,青海省,-30%
counties,0.7,-30,0.022531970706516958,于田县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.02721857749971479,民丰县,新疆维吾尔自治区,-30%
counties,0.7,-30,0.044833862645157756,阜城县,河北省,-30%
counties,0.7,-30,0.03361907166655342,谢通门县,西藏自治区,-30%
