dataset,Province,factor,cost_change_pct,cost_change_label,n,mean_roi,median_roi,roi_gt_003_ratio,roi_gt_003_count,baseline_mean_roi,delta_mean_roi_vs_base
counties,吉林省,1.0,0,0%,8,0.055147226919175334,0.051063601007437905,1.0,8,0.055147226919175334,0.0
counties,吉林省,1.1,10,10%,8,0.05356645494606647,0.04960704650742932,1.0,8,0.055147226919175334,-0.001580771973108866
counties,吉林省,1.2,20,20%,8,0.0520326575867551,0.048191879993690706,1.0,8,0.055147226919175334,-0.0031145693324202348
counties,吉林省,1.3,30,30%,8,0.0505437652143824,0.04681636211866211,1.0,8,0.055147226919175334,-0.0046034617047929355
counties,四川省,0.7,-30,-30%,31,0.06514437626084192,0.06710594643756831,1.0,31,0.05994279379549723,0.00520158246534469
counties,四川省,0.8,-20,-20%,31,0.06335652798384248,0.06526244707894688,1.0,31,0.05994279379549723,0.0034137341883452438
counties,四川省,0.9,-10,-10%,31,0.0616234969049938,0.06347608947264706,1.0,31,0.05994279379549723,0.0016807031094965702
counties,四川省,1.0,0,0%,31,0.05994279379549723,0.061744257386811364,1.0,31,0.05994279379549723,0.0
counties,四川省,1.1,10,10%,31,0.05831207823504632,0.06006449190078857,1.0,31,0.05994279379549723,-0.0016307155604509127
counties,四川省,1.2,20,20%,31,0.05672914763224225,0.05843447975654588,1.0,31,0.05994279379549723,-0.0032136461632549795
counties,四川省,1.3,30,30%,31,0.05519192720490307,0.05685204273004232,1.0,31,0.05994279379549723,-0.004750866590594163
counties,宁夏回族自治区,0.7,-30,-30%,8,0.0193548330582494,0.018584807043646737,0.0,0,0.015057784448784592,0.004297048609464808
counties,宁夏回族自治区,0.8,-20,-20%,8,0.017860627801138028,0.017126372148720086,0.0,0,0.015057784448784592,0.0028028433523534357
counties,宁夏回族自治区,0.9,-10,-10%,8,0.016429588571786675,0.0157286819159783,0.0,0,0.015057784448784592,0.0013718041230020833
counties,宁夏回族自治区,1.0,0,0%,8,0.015057784448784592,0.01438801811404166,0.0,0,0.015057784448784592,0.0
counties,宁夏回族自治区,1.1,10,10%,8,0.013741604709568834,0.0131009599492833,0.0,0,0.015057784448784592,-0.0013161797392157587
counties,宁夏回族自治区,1.2,20,20%,8,0.012477726815343882,0.01186435490309431,0.0,0,0.015057784448784592,-0.00258005763344071
counties,宁夏回族自治区,1.3,30,30%,8,0.011263088169013072,0.01067529293478712,0.0,0,0.015057784448784592,-0.0037946962797715204
counties,安徽省,0.7,-30,-30%,20,0.04122261253850061,0.040905851318055096,1.0,20,0.03947613128972272,0.0017464812487778883
counties,安徽省,0.8,-20,-20%,20,0.040632920205014286,0.04032065344493858,1.0,20,0.03947613128972272,0.0011567889152915636
counties,安徽省,0.9,-10,-10%,20,0.040050808233925886,0.03974294169446274,1.0,20,0.03947613128972272,0.0005746769442031632
counties,安徽省,1.0,0,0%,20,0.03947613128972272,0.03917257333064658,1.0,20,0.03947613128972272,0.0
counties,安徽省,1.1,10,10%,20,0.03890874773119518,0.038609409223273446,1.0,20,0.03947613128972272,-0.0005673835585275414
counties,安徽省,1.2,20,20%,20,0.03834851949471343,0.03805331373474552,1.0,20,0.03947613128972272,-0.001127611795009295
counties,安徽省,1.3,30,30%,20,0.03779531198190493,0.0375041546111723,1.0,20,0.03947613128972272,-0.0016808193078177922
counties,山西省,0.7,-30,-30%,34,0.04669571717146364,0.04733264901998288,1.0,34,0.042269754874981295,0.004425962296482344
counties,山西省,0.8,-20,-20%,34,0.045173873201896794,0.04579380253468819,1.0,34,0.042269754874981295,0.002904118326915499
counties,山西省,0.9,-10,-10%,34,0.04369927587268916,0.044302857621385874,1.0,34,0.042269754874981295,0.0014295209977078643
counties,山西省,1.0,0,0%,34,0.042269754874981295,0.042857611919532496,1.0,34,0.042269754874981295,0.0
counties,山西省,1.1,10,10%,34,0.040883271035202645,0.04145599604074793,1.0,34,0.042269754874981295,-0.0013864838397786503
counties,山西省,1.2,20,20%,34,0.03953790654301179,0.04009606368244355,1.0,34,0.042269754874981295,-0.0027318483319695025
counties,山西省,1.3,30,30%,34,0.038231856041504114,0.03877598261057939,1.0,34,0.042269754874981295,-0.004037898833477181
counties,新疆维吾尔自治区,0.7,-30,-30%,32,0.022033213059580486,0.020696525351224373,0.0625,2,0.019555025974490638,0.002478187085089848
counties,新疆维吾尔自治区,0.8,-20,-20%,32,0.021187698781327015,0.019884374198454256,0.03125,1,0.019555025974490638,0.0016326728068363772
counties,新疆维吾尔自治区,0.9,-10,-10%,32,0.02036186350053829,0.019090670876368197,0.03125,1,0.019555025974490638,0.0008068375260476511
counties,新疆维吾尔自治区,1.0,0,0%,32,0.019555025974490638,0.01831479388564029,0.0,0,0.019555025974490638,0.0
counties,新疆维吾尔自治区,1.1,10,10%,32,0.018766536143721153,0.017556149334323673,0.0,0,0.019555025974490638,-0.0007884898307694843
counties,新疆维吾尔自治区,1.2,20,20%,32,0.017995773362391367,0.01681416942176511,0.0,0,0.019555025974490638,-0.0015592526120992711
counties,新疆维吾尔自治区,1.3,30,30%,32,0.017242144748188838,0.016088311021342876,0.0,0,0.019555025974490638,-0.0023128812263017995
counties,河北省,0.7,-30,-30%,45,0.051654061512446545,0.0470518060998272,1.0,45,0.04721035401697925,0.004443707495467297
counties,河北省,0.8,-20,-20%,45,0.05012803014896533,0.045670045046584416,1.0,45,0.04721035401697925,0.0029176761319860828
counties,河北省,0.9,-10,-10%,45,0.04864746645484249,0.04432707693082179,1.0,45,0.04721035401697925,0.001437112437863243
counties,河北省,1.0,0,0%,45,0.04721035401697925,0.04302129070027567,1.0,45,0.04721035401697925,0.0
counties,河北省,1.1,10,10%,45,0.04581479472296495,0.0417511632929315,1.0,45,0.04721035401697925,-0.0013955592940142966
counties,河北省,1.2,20,20%,45,0.04445900015473863,0.04051525371077786,1.0,45,0.04721035401697925,-0.0027513538622406172
counties,河北省,1.3,30,30%,45,0.043141283727405284,0.03931219756616196,1.0,45,0.04721035401697925,-0.004069070289573963
counties,河南省,0.7,-30,-30%,1,0.03308874654979578,0.03308874654979578,1.0,1,0.02855640351585722,0.0045323430339385615
counties,河南省,0.8,-20,-20%,1,0.03152095193727733,0.03152095193727733,1.0,1,0.02855640351585722,0.0029645484214201115
counties,河南省,0.9,-10,-10%,1,0.030011226787869345,0.030011226787869345,1.0,1,0.02855640351585722,0.0014548232720121256
counties,河南省,1.0,0,0%,1,0.02855640351585722,0.02855640351585722,0.0,0,0.02855640351585722,0.0
