county_id,county_name,j,k,direct_h2_revenue,sensitivity_h2_revenue,h2_revenue_diff,h2_revenue_diff_pct,direct_pv_revenue,sensitivity_pv_revenue,pv_revenue_diff,pv_revenue_diff_pct,direct_other_revenue,sensitivity_other_revenue,other_revenue_diff,other_revenue_diff_pct,direct_total_revenue,sensitivity_total_revenue,total_revenue_diff,total_revenue_diff_pct
0,龙里县,0,0,7901667.017174903,7901667.017174903,0.0,0.0,0,52076924.18506835,52076924.18506835,inf,109059.46664329946,109059.46664329946,0.0,0.0,8010726.483818203,60087650.66888655,52076924.18506835,650.0899049576162
0,龙里县,0,1,7901667.017174903,7901667.017174903,0.0,0.0,0,52076924.18506835,52076924.18506835,inf,109059.46664329946,109059.46664329946,0.0,0.0,8010726.483818203,60087650.66888655,52076924.18506835,650.0899049576162
0,龙里县,0,2,7901667.017174903,7901667.017174903,0.0,0.0,0,52076924.18506835,52076924.18506835,inf,109059.46664329946,109059.46664329946,0.0,0.0,8010726.483818203,60087650.66888655,52076924.18506835,650.0899049576162
0,龙里县,1,0,9258119.855123263,9258119.855123263,0.0,0.0,0,52076924.18506835,52076924.18506835,inf,109059.46664329946,109059.46664329946,0.0,0.0,9367179.321766563,61444103.5068349,52076924.18506834,555.9509687623564
0,龙里县,1,1,9258119.855123263,9258119.855123263,0.0,0.0,0,52076924.18506835,52076924.18506835,inf,109059.46664329946,109059.46664329946,0.0,0.0,9367179.321766563,61444103.5068349,52076924.18506834,555.9509687623564
0,龙里县,1,2,9258119.855123263,9258119.855123263,0.0,0.0,0,52076924.18506835,52076924.18506835,inf,109059.46664329946,109059.46664329946,0.0,0.0,9367179.321766563,61444103.5068349,52076924.18506834,555.9509687623564
0,龙里县,3,0,20577257.857226312,20577257.857226312,0.0,0.0,0,52076924.18506835,52076924.18506835,inf,109059.46664329946,109059.46664329946,0.0,0.0,20686317.323869612,72763241.50893795,52076924.18506834,251.74574753804828
0,龙里县,3,1,20577257.857226312,20577257.857226312,0.0,0.0,0,52076924.18506835,52076924.18506835,inf,109059.46664329946,109059.46664329946,0.0,0.0,20686317.323869612,72763241.50893795,52076924.18506834,251.74574753804828
0,龙里县,3,2,20577257.857226312,20577257.857226312,0.0,0.0,0,52076924.18506835,52076924.18506835,inf,109059.46664329946,109059.46664329946,0.0,0.0,20686317.323869612,72763241.50893795,52076924.18506834,251.74574753804828
1,三都水族自治县,0,0,7843753.999546794,7843753.999546794,0.0,0.0,0,51695241.2032631,51695241.2032631,inf,108260.14634791149,108260.14634791149,0.0,0.0,7952014.145894705,59647255.3491578,51695241.2032631,650.0899049576163
1,三都水族自治县,0,1,7843753.999546794,7843753.999546794,0.0,0.0,0,51695241.2032631,51695241.2032631,inf,108260.14634791149,108260.14634791149,0.0,0.0,7952014.145894705,59647255.3491578,51695241.2032631,650.0899049576163
1,三都水族自治县,0,2,7843753.999546794,7843753.999546794,0.0,0.0,0,51695241.2032631,51695241.2032631,inf,108260.14634791149,108260.14634791149,0.0,0.0,7952014.145894705,59647255.3491578,51695241.2032631,650.0899049576163
1,三都水族自治县,1,0,9190265.102802327,9190265.102802327,0.0,0.0,0,51695241.2032631,51695241.2032631,inf,108260.14634791149,108260.14634791149,0.0,0.0,9298525.249150239,60993766.452413335,51695241.2032631,555.9509687623568
1,三都水族自治县,1,1,9190265.102802327,9190265.102802327,0.0,0.0,0,51695241.2032631,51695241.2032631,inf,108260.14634791149,108260.14634791149,0.0,0.0,9298525.249150239,60993766.452413335,51695241.2032631,555.9509687623568
1,三都水族自治县,1,2,9190265.102802327,9190265.102802327,0.0,0.0,0,51695241.2032631,51695241.2032631,inf,108260.14634791149,108260.14634791149,0.0,0.0,9298525.249150239,60993766.452413335,51695241.2032631,555.9509687623568
1,三都水族自治县,3,0,20426442.707153108,20426442.707153108,0.0,0.0,0,51695241.2032631,51695241.2032631,inf,108260.14634791149,108260.14634791149,0.0,0.0,20534702.853501018,72229944.05676411,51695241.20326309,251.74574753804836
1,三都水族自治县,3,1,20426442.707153108,20426442.707153108,0.0,0.0,0,51695241.2032631,51695241.2032631,inf,108260.14634791149,108260.14634791149,0.0,0.0,20534702.853501018,72229944.05676411,51695241.20326309,251.74574753804836
1,三都水族自治县,3,2,20426442.707153108,20426442.707153108,0.0,0.0,0,51695241.2032631,51695241.2032631,inf,108260.14634791149,108260.14634791149,0.0,0.0,20534702.853501018,72229944.05676411,51695241.20326309,251.74574753804836
2,惠水县,0,0,8146018.280268573,8146018.280268573,0.0,0.0,0,53687351.72839507,53687351.72839507,inf,112432.02313912354,112432.02313912354,0.0,0.0,8258450.303407697,61945802.031802766,53687351.72839507,650.0899049576162
