County_storage,LCOE_storage,NPV_storage,IRR_storage,ROI_storage,poverty_storage,mean_value_day_count
绿春县,0.3413361660670622,-324.71299775519725,0.01866276189614905,0.027580423755795818,,
汪清县,0.2955700418622016,1631.4227092118913,0.08012909038565298,0.05071217191235825,,
安图县,0.2979223328558293,1562.7382767420672,0.07821978493775444,0.049936014591165125,,
香格里拉市,0.29497857227126045,693.0376533270991,0.052088017967371815,0.03947800451476841,,
和龙市,0.29438495959900446,1666.501125676987,0.08109895529888678,0.051107784204979315,,
龙井市,0.2946488617678013,1658.6617152623978,0.08088251174593682,0.051019417809896495,,
曲水县,0.25650867715446174,-380.425898640035,0.01932383088841895,0.025287244713070884,,
墨竹工卡县,0.27456643717194684,-842.4699000797735,0.004934318110078593,0.020525752991369092,,
林周县,0.2715024554808421,-769.5073806875482,0.0073267649987145906,0.021290780921273966,,
当雄县,0.2669996717539182,-658.4511620660248,0.010876851810503825,0.022445660920157033,,
尼木县,0.2522803561246982,-259.99872091563407,0.022805769509802728,0.026496564925107685,,
会泽县,0.31182640284074714,283.4624569522745,0.039342901015605794,0.03475421105864942,,
合作市,0.302154842445658,-71.41465059067485,0.027891830476904356,0.029180574880344857,,
易县,0.3098743902528884,1010.8468413875279,0.06213830756556035,0.04350373527470768,,
曲阳县,0.3158513957057712,860.8324120440762,0.05766405452127661,0.041774317096174664,,
望都县,0.3196876765887529,767.8876244046712,0.05484678784987561,0.04069761962265493,,
顺平县,0.3156809709319546,865.0207641854613,0.057790176468771104,0.04182274218119702,,
武乡县,0.2940012800965302,633.4533037081285,0.05022897308742954,0.038752387519760054,,
涞源县,0.2893858259887846,1578.9681903358767,0.07835959571002715,0.04996082091413077,,
红河县,0.32912685029509836,-87.98080648726432,0.027000107461540957,0.030395865372918822,,
泸西县,0.3256869624694832,-17.66975961836357,0.029401539785354033,0.031226374485360746,,
石屏县,0.3086779221289132,356.14571124639235,0.04166563757147361,0.03559870955033219,,
平顺县,0.30932417028735926,260.8797676632232,0.03859299554960762,0.034457320177874964,,
壶关县,0.30615595558271486,334.4378056694692,0.04094607398208752,0.03531094810956485,,
涞水县,0.3060728411636024,1109.7256800139965,0.06504075566563976,0.04463801833651228,,
唐县,0.3122119743939199,951.4013881486053,0.0603757747963931,0.042819662285960694,,
阜平县,0.3061962226090713,1106.4726899152529,0.06494583683651525,0.044600772612503795,,
玛曲县,0.2947394618060444,111.90861436531924,0.03324167480733811,0.03110128239335379,,
绥滨县,0.2812038002405095,1968.9768594469408,0.08914813945808248,0.05441495123993564,,
碌曲县,0.29652852728185575,66.64792846194462,0.03193948599179261,0.03062940537358036,,
靖宇县,0.2988205796290964,1536.835823909933,0.07749614467426619,0.0496427779452934,,
迭部县,0.3293880168738449,-659.5814543241324,0.009177437529537856,0.022844838247528886,,
临潭县,0.3136847133354842,-335.56105201617106,0.019804580628731867,0.026368425753748197,,
卓尼县,0.3180052629722655,-428.5728167129258,0.016839340334018182,0.025365413274313724,,
夏河县,0.2985028009427448,17.47445073853862,0.030511086547828144,0.0301150111059798,,
维西傈僳族自治县,0.32276888654470626,43.3017295627715,0.03145825331893244,0.03194447071942478,,
德钦县,0.30583665632377505,423.1973191291387,0.043783981505223356,0.036375382904536395,,
崆峒区,0.32940634610528324,-659.9379699236758,0.00916526264079224,0.022840915414278837,,
原州区,0.309671380775437,-1338.2475505923592,-0.0134874648687291,0.015190594195614925,,
台前县,0.3531413162790091,-171.5166594847685,0.024626642098368214,0.02855640351585722,,
河曲县,0.27324937033341723,1215.0255478238792,0.06717020631229412,0.045317183964278085,,
保德县,0.2772417445106228,1095.3394555626073,0.06379035022547828,0.04397982188454981,,
偏关县,0.27026846564787244,1307.0586004898498,0.06973514519466288,0.04634081049757584,,
玉树市,0.29404431330187863,-1799.637526489224,-0.029734165725885817,0.010132718537798457,,
