name,ROI_优化模型,ROI_直接计算,j,k,差异,相对差异(%)
石阡县,0.0067104233774039,0.006710423377403929,2,1,-2.949029909160572e-17,-4.3947002197966643e-13
思南县,0.0063930608462181,0.006393060846218157,2,1,-5.724587470723463e-17,-8.954376641213838e-13
印江土家族苗族自治县,0.006204423855241,0.0062044238552410366,2,1,-3.642919299551295e-17,-5.871486836725423e-13
德江县,0.0057914544708109,0.005791454470810975,2,1,-7.45931094670027e-17,-1.2879857701196338e-12
文山市,0.0253829020466154,0.02538290204661544,2,1,-3.8163916471489756e-17,-1.5035284933693602e-13
沿河土家族自治县,0.0056548873828568,0.005654887382856888,2,1,-8.760353553682876e-17,-1.5491649896053432e-12
松桃苗族自治县,0.0071443319704,0.007144331970400019,2,1,-1.9081958235744878e-17,-2.6709226719592733e-13
富平县,0.0258415297745212,0.025841529774521234,2,1,-3.469446951953614e-17,-1.342585745590943e-13
麻城市,0.0433469610269691,0.043346961026969166,2,1,-6.938893903907228e-17,-1.6007797869820812e-13
青川县,0.0212044594951962,0.02120445949519628,2,1,-8.326672684688674e-17,-3.9268497678872793e-13
剑阁县,0.019474454447293,0.019474454447293087,2,1,-8.673617379884035e-17,-4.4538435740825865e-13
旺苍县,0.0223280926118987,0.022328092611898755,2,1,-5.551115123125783e-17,-2.486157335341562e-13
苍溪县,0.0209074358995939,0.020907435899593995,2,1,-9.367506770274758e-17,-4.480466574314198e-13
龙山县,0.0189109387271201,0.01891093872712015,2,1,-5.204170427930421e-17,-2.751936592373983e-13
文县,0.0089559110108827,0.008955911010882788,2,1,-8.847089727481716e-17,-9.87849222343898e-13
成县,0.0106162578700343,0.01061625787003435,2,1,-5.0306980803327406e-17,-4.738673590938747e-13
两当县,0.0121805845142766,0.012180584514276649,2,1,-4.85722573273506e-17,-3.9876786923008425e-13
徽县,0.0110487753665636,0.011048775366563679,2,1,-7.979727989493313e-17,-7.222273713376362e-13
康县,0.0080393079116466,0.00803930791164661,2,1,-1.0408340855860843e-17,-1.2946812051796394e-13
宕昌县,0.0204305711661417,0.020430571166141796,2,1,-9.71445146547012e-17,-4.754860442457538e-13
礼县,0.0175298485490452,0.01752984854904528,2,1,-7.979727989493313e-17,-4.552080394287211e-13
西和县,0.0141835062203348,0.014183506220334841,2,1,-4.163336342344337e-17,-2.9353364941423137e-13
双湖县,0.0201805308911895,0.020180530891189596,2,1,-9.71445146547012e-17,-4.813773987339078e-13
河南蒙古族自治县,0.0145580498304184,0.014558049830418474,2,1,-7.28583859910259e-17,-5.004680354836481e-13
泽库县,0.0161413632615282,0.016141363261528253,2,1,-5.204170427930421e-17,-3.224120753377862e-13
桐柏县,0.0165915166567032,0.016591516656703276,2,1,-7.632783294297951e-17,-4.600413242639977e-13
尖扎县,0.0140482065212392,0.014048206521239203,2,1,-3.469446951953614e-18,-2.469672514216122e-14
